Experiment,well,scan id,lambda max wavelength,lambda max absorbance,well,concentration,volume,additive,Equilibration,temp,Minutes_Between_LastAddition_and_Scan
NLM_158,H05,scan_071,772.5,0.592,H05,1,45,nitrate,N,25.4,63.57804113
NLM_107,H06,scan_062,782,0.656,H06,1,60,nitrate,N,26.5,61.56775305
NLM_151,H01,scan_033,719.75,0.57,H01,1,60,nitrate,N,25.6,61.37190805
NLM_151,A06,scan_071,761,0.527,A06,1,60,nitrate,N,25.7,61.66190875
NLM_152,H01,scan_033,758,0.565,H01,1,60,nitrate,N,26.3,62.09573488
NLM_152,A06,scan_071,742.5,0.525,A06,1,60,nitrate,N,26.6,61.42240752
NLM_158,H01,scan_033,789,0.62,H01,1,60,nitrate,N,25.3,61.34120517
NLM_158,A06,scan_071,778.5,0.596,A06,1,60,nitrate,N,25.4,61.36553253
NLM_107,A07,scan_062,807,0.703,A07,10,10,nitrate,N,26.5,59.34526133
NLM_151,A02,scan_033,724,0.514,A02,10,10,nitrate,N,25.6,59.16740807
NLM_151,B06,scan_071,754.6666667,0.603,B06,10,10,nitrate,N,25.7,59.43724455
NLM_152,A02,scan_033,744,0.57,A02,10,10,nitrate,N,26.3,59.85857805
NLM_152,B06,scan_071,738,0.54,B06,10,10,nitrate,N,26.6,59.22791097
NLM_158,A02,scan_033,728.5,0.552,A02,10,10,nitrate,N,25.3,59.13701905
NLM_158,B06,scan_071,755.5,0.583,B06,10,10,nitrate,N,25.4,59.14137243
NLM_107,B07,scan_062,800.3333333,0.687,B07,10,15,nitrate,N,26.5,57.13059275
NLM_151,B02,scan_033,741,0.535,B02,10,15,nitrate,N,25.6,56.9374139
NLM_151,C06,scan_071,743,0.577,C06,10,15,nitrate,N,25.7,57.19358022
NLM_152,B02,scan_033,746.7142857,0.551,B02,10,15,nitrate,N,26.3,57.33785443
NLM_152,C06,scan_071,734,0.524,C06,10,15,nitrate,N,26.6,57.0172478
NLM_158,B02,scan_033,746,0.592,B02,10,15,nitrate,N,25.3,56.90620482
NLM_158,C06,scan_071,741,0.593,C06,10,15,nitrate,N,25.4,56.91286118
NLM_107,C07,scan_062,852.6666667,0.698,C07,10,20,nitrate,N,26.5,54.90560077
NLM_151,C02,scan_033,750.6666667,0.548,C02,10,20,nitrate,N,25.6,54.73041135
NLM_151,D06,scan_071,756,0.602,D06,10,20,nitrate,N,25.7,54.96374735
NLM_152,C02,scan_033,731.125,0.53,C02,10,20,nitrate,N,26.3,55.1102409
NLM_152,D06,scan_071,731,0.526,D06,10,20,nitrate,N,26.6,54.80673217
NLM_158,C02,scan_033,775.2,0.611,C02,10,20,nitrate,N,25.3,54.72670403
NLM_158,D06,scan_071,758,0.577,D06,10,20,nitrate,N,25.4,54.70115202
NLM_151,D02,scan_033,746.5,0.547,D02,10,25,nitrate,N,25.6,52.51544407
NLM_151,E06,scan_071,740.3333333,0.595,E06,10,25,nitrate,N,25.7,52.73891125
NLM_152,D02,scan_033,745.6666667,0.544,D02,10,25,nitrate,N,26.3,52.89574817
NLM_152,E06,scan_071,723,0.544,E06,10,25,nitrate,N,26.6,52.59874507
NLM_158,D02,scan_033,747,0.579,D02,10,25,nitrate,N,25.3,52.50787143
NLM_158,E06,scan_071,758,0.594,E06,10,25,nitrate,N,25.4,52.48786962
NLM_107,E07,scan_062,797,0.718,E07,10,30,nitrate,N,26.5,50.47309235
NLM_151,E02,scan_033,739.5,0.477,E02,10,30,nitrate,N,25.6,50.3202405
NLM_151,F06,scan_071,754.9,0.588,F06,10,30,nitrate,N,25.7,50.50858173
NLM_152,E02,scan_033,746,0.554,E02,10,30,nitrate,N,26.3,50.67207217
NLM_152,F06,scan_071,744.3333333,0.519,F06,10,30,nitrate,N,26.6,50.3995789
NLM_158,E02,scan_033,774.8571429,0.599,E02,10,30,nitrate,N,25.3,50.30853995
NLM_158,F06,scan_071,759.6666667,0.583,F06,10,30,nitrate,N,25.4,50.27386152
NLM_107,F07,scan_062,824.2857143,0.702,F07,10,35,nitrate,N,26.5,48.25374428
NLM_151,F02,scan_033,768,0.563,F02,10,35,nitrate,N,25.6,48.10740508
NLM_151,G06,scan_071,807,0.623,G06,10,35,nitrate,N,25.7,48.30374178
NLM_152,F02,scan_033,776,0.563,F02,10,35,nitrate,N,26.3,48.46890913
NLM_152,G06,scan_071,744.2857143,0.553,G06,10,35,nitrate,N,26.6,48.1945812
NLM_158,F02,scan_033,774.5,0.575,F02,10,35,nitrate,N,25.3,48.10037297
NLM_158,G06,scan_071,772,0.579,G06,10,35,nitrate,N,25.4,48.0722068
NLM_107,G07,scan_062,819,0.69,G07,10,40,nitrate,N,26.5,46.0320889
NLM_151,G02,scan_033,756,0.507,G02,10,40,nitrate,N,25.6,45.90857968
NLM_151,H06,scan_071,815,0.64,H06,10,40,nitrate,N,25.7,46.09557955
NLM_152,G02,scan_033,640.2,0.52,G02,10,40,nitrate,N,26.3,46.24324493
NLM_152,H06,scan_071,743.8333333,0.534,H06,10,40,nitrate,N,26.6,46.00007778
NLM_158,G02,scan_033,771.5,0.615,G02,10,40,nitrate,N,25.3,45.90703472
NLM_158,H06,scan_071,777,0.594,H06,10,40,nitrate,N,25.4,45.88036942
NLM_166,D01,scan_024,766,0.557,D01,10,40,nitrate,Y,25.6,50.43656115
NLM_166,G02,scan_027,755.5,0.57,G02,10,40,nitrate,Y,25.8,46.41339812
NLM_166,D04,scan_053,760,0.552,D04,10,40,nitrate,Y,26,50.31822225
NLM_166,G05,scan_055,774.6666667,0.608,G05,10,40,nitrate,Y,26.1,41.52056242
NLM_107,H07,scan_062,811,0.695,H07,10,45,nitrate,N,26.5,43.82841383
NLM_151,H02,scan_033,760,0.566,H02,10,45,nitrate,N,25.6,43.70440842
NLM_151,A07,scan_071,812,0.665,A07,10,45,nitrate,N,25.7,43.8782425
NLM_152,H02,scan_033,767,0.571,H02,10,45,nitrate,N,26.3,44.04124087
NLM_152,A07,scan_071,777,0.599,A07,10,45,nitrate,N,26.6,43.80340918
NLM_158,H02,scan_033,773,0.541,H02,10,45,nitrate,N,25.3,43.70420405
NLM_158,A07,scan_071,787,0.636,A07,10,45,nitrate,N,25.4,43.66587292
NLM_107,A08,scan_062,844.6666667,0.73,A08,10,50,nitrate,N,26.5,41.62075633
NLM_151,A03,scan_033,760,0.587,A03,10,50,nitrate,N,25.6,41.48873692
NLM_151,B07,scan_071,771.5,0.611,B07,10,50,nitrate,N,25.7,41.6504133
NLM_152,A03,scan_033,733.5,0.567,A03,10,50,nitrate,N,26.3,41.84341303
NLM_152,B07,scan_071,741,0.552,B07,10,50,nitrate,N,26.6,41.58124673
NLM_158,A03,scan_033,788,0.633,A03,10,50,nitrate,N,25.3,41.48519948
NLM_158,B07,scan_071,801,0.623,B07,10,50,nitrate,N,25.4,41.45937083
NLM_107,B08,scan_063,857,0.734,B08,10,55,nitrate,N,26.6,47.51233367
NLM_151,B03,scan_034,622.7142857,0.488,B03,10,55,nitrate,N,25.7,46.39041148
NLM_151,C07,scan_072,775.4,0.606,C07,10,55,nitrate,N,25.8,47.94524357
NLM_152,B03,scan_034,731,0.544,B03,10,55,nitrate,N,26.3,46.80240707
NLM_152,C07,scan_072,739.75,0.519,C07,10,55,nitrate,N,26.6,47.87658107
NLM_158,B03,scan_034,806,0.612,B03,10,55,nitrate,N,25.4,46.39136542
NLM_158,C07,scan_072,792.25,0.629,C07,10,55,nitrate,N,25.5,47.76960172
NLM_166,B01,scan_024,742,0.431,B01,10,55,nitrate,Y,25.6,54.87155923
NLM_166,E02,scan_026,759,0.57,E02,10,55,nitrate,Y,25.8,44.07006265
NLM_166,B04,scan_053,774.3333333,0.553,B04,10,55,nitrate,Y,26,54.73823033
NLM_166,E05,scan_055,788,0.619,E05,10,55,nitrate,Y,26.1,45.9240637
NLM_168,C01,scan_015,739.6666667,0.475,C01,10,55,nitrate,Y,25.8,44.59294942
NLM_168,F01,scan_016,739.5714286,0.402,F01,10,55,nitrate,Y,25.8,44.24978635
NLM_168,A02,scan_016,732,0.483,A02,10,55,nitrate,Y,25.8,37.6889556
NLM_168,D02,scan_016,735,0.499,D02,10,55,nitrate,Y,25.8,31.08679625
NLM_168,G02,scan_032,728.25,0.4,G02,10,55,nitrate,Y,26.1,46.11395258
NLM_168,B03,scan_033,601,0.403,B03,10,55,nitrate,Y,26,46.29646013
NLM_168,E03,scan_034,757.5,0.542,E03,10,55,nitrate,Y,26,46.4587907
NLM_168,H03,scan_035,731.3333333,0.539,H03,10,55,nitrate,Y,26,46.68228942
CMH_073,C07,scan_052,758,0.491,C07,10,55,nitrate,Y,26.1,48.04829168
CMH_073,D07,scan_052,740.5,0.486,D07,10,55,nitrate,Y,26.1,45.84229388
CMH_073,E07,scan_052,741.5,0.493,E07,10,55,nitrate,Y,26.1,43.6382899
NLM_107,C08,scan_063,853.5,0.704,C08,10,60,nitrate,N,26.6,45.30058932
NLM_151,C03,scan_034,742,0.57,C03,10,60,nitrate,N,25.7,44.1769057
NLM_151,D07,scan_072,771,0.633,D07,10,60,nitrate,N,25.8,45.72590908
NLM_152,C03,scan_034,751,0.622,C03,10,60,nitrate,N,26.3,44.57740607
NLM_152,D07,scan_072,743.3333333,0.566,D07,10,60,nitrate,N,26.6,45.67241385
NLM_158,C03,scan_034,822,0.655,C03,10,60,nitrate,N,25.4,44.17937227
NLM_158,D07,scan_072,766.75,0.615,D07,10,60,nitrate,N,25.5,45.5648873
NLM_107,D08,scan_063,865.5,0.739,D08,100,7,nitrate,N,26.6,43.08909425
NLM_151,D03,scan_034,758.5,0.524,D03,100,7,nitrate,N,25.7,41.95374362
NLM_151,E07,scan_072,790,0.617,E07,100,7,nitrate,N,25.8,43.51524223
NLM_152,D03,scan_034,775.5,0.61,D03,100,7,nitrate,N,26.3,42.34957433
NLM_152,E07,scan_072,761,0.557,E07,100,7,nitrate,N,26.6,43.44290743
NLM_158,D03,scan_034,774.6,0.577,D03,100,7,nitrate,N,25.4,41.96454027
NLM_158,E07,scan_072,784.8,0.63,E07,100,7,nitrate,N,25.5,43.36153757
NLM_107,E08,scan_064,853,0.699,E08,100,8,nitrate,N,26.6,48.99942125
NLM_151,E03,scan_035,770,0.549,E03,100,8,nitrate,N,25.8,46.87258058
NLM_151,F07,scan_072,787,0.584,F07,100,8,nitrate,N,25.8,41.30608317
NLM_152,E03,scan_035,777,0.536,E03,100,8,nitrate,N,26.4,47.30707727
NLM_152,F07,scan_072,779.6666667,0.559,F07,100,8,nitrate,N,26.6,41.2277316
NLM_158,E03,scan_035,769,0.587,E03,100,8,nitrate,N,25.4,46.90169482
NLM_158,F07,scan_072,781.5,0.589,F07,100,8,nitrate,N,25.5,41.15672242
NLM_107,F08,scan_064,865,0.728,F08,100,9,nitrate,N,26.6,46.78642173
NLM_151,F03,scan_035,744,0.504,F03,100,9,nitrate,N,25.8,44.67191485
NLM_151,G07,scan_073,759,0.588,G07,100,9,nitrate,N,25.8,47.62357945
NLM_152,F03,scan_035,777,0.578,F03,100,9,nitrate,N,26.4,45.07057408
NLM_152,G07,scan_073,754,0.537,G07,100,9,nitrate,N,26.6,47.5337442
NLM_158,F03,scan_035,788,0.586,F03,100,9,nitrate,N,25.4,44.70169565
NLM_158,G07,scan_073,797,0.615,G07,100,9,nitrate,N,25.5,47.46870347
NLM_107,G08,scan_064,840,0.579,G08,100,12,nitrate,N,26.6,44.58992303
NLM_151,G03,scan_035,804,0.593,G03,100,12,nitrate,N,25.8,42.47090605
NLM_151,H07,scan_073,793.75,0.622,H07,100,12,nitrate,N,25.8,45.41341035
NLM_152,G03,scan_035,755.5,0.506,G03,100,12,nitrate,N,26.4,42.8465809
NLM_152,H07,scan_073,756,0.522,H07,100,12,nitrate,N,26.6,45.3452412
NLM_158,G03,scan_035,795,0.598,G03,100,12,nitrate,N,25.4,42.50369803
NLM_158,H07,scan_073,816,0.647,H07,100,12,nitrate,N,25.5,45.27720468
NLM_107,H08,scan_064,853,0.675,H08,100,14,nitrate,N,26.6,42.37275373
NLM_151,H03,scan_036,780,0.567,H03,100,14,nitrate,N,25.8,47.4070802
NLM_151,A08,scan_073,789,0.623,A08,100,14,nitrate,N,25.8,43.19724665
NLM_152,H03,scan_036,766.5,0.511,H03,100,14,nitrate,N,26.4,47.73774253
NLM_152,A08,scan_073,753.5,0.546,A08,100,14,nitrate,N,26.6,43.08324313
NLM_158,H03,scan_036,778,0.557,H03,100,14,nitrate,N,25.4,47.418038
NLM_158,A08,scan_073,801.5,0.609,A08,100,14,nitrate,N,25.5,43.06803638
NLM_107,A09,scan_065,857.8333333,0.727,A09,100,16,nitrate,N,26.6,48.2992541
NLM_151,A04,scan_036,747,0.49,A04,100,16,nitrate,N,25.8,45.21323668
NLM_151,B08,scan_073,775,0.564,B08,100,16,nitrate,N,25.8,40.98174552
NLM_152,A04,scan_036,757.5,0.487,A04,100,16,nitrate,N,26.4,45.52474857
NLM_152,B08,scan_073,757,0.469,B08,100,16,nitrate,N,26.6,40.86791307
NLM_158,A04,scan_036,784,0.59,A04,100,16,nitrate,N,25.4,45.22453982
NLM_158,B08,scan_073,813,0.638,B08,100,16,nitrate,N,25.5,40.85703673
NLM_107,B09,scan_065,824,0.79,B09,100,18,nitrate,N,26.6,46.07425585
NLM_151,B04,scan_036,749.3333333,0.496,B04,100,18,nitrate,N,25.8,42.9947443
NLM_151,C08,scan_074,805.5,0.638,C08,100,18,nitrate,N,25.8,47.30658063
NLM_152,B04,scan_036,789.1428571,0.562,B04,100,18,nitrate,N,26.4,43.3025802
NLM_152,C08,scan_074,766.5714286,0.516,C08,100,18,nitrate,N,26.6,47.17808085
NLM_158,B04,scan_036,817.5,0.637,B04,100,18,nitrate,N,25.4,43.01037327
NLM_158,C08,scan_074,814,0.615,C08,100,18,nitrate,N,25.4,47.17219978
NLM_107,C09,scan_065,864,0.705,C09,100,25,nitrate,N,26.6,43.85075633
NLM_151,C04,scan_037,790,0.556,C04,100,25,nitrate,N,25.7,47.93058077
NLM_151,D08,scan_074,816.1666667,0.653,D08,100,25,nitrate,N,25.8,45.09774207
NLM_152,C04,scan_037,796,0.579,C04,100,25,nitrate,N,26.4,48.21324308
NLM_152,D08,scan_074,832.5,0.614,D08,100,25,nitrate,N,26.6,44.98556948
NLM_158,C04,scan_037,843.25,0.646,C04,100,25,nitrate,N,25.4,47.93937065
NLM_158,D08,scan_074,833,0.642,D08,100,25,nitrate,N,25.4,44.96603373
NLM_107,D09,scan_065,890,0.736,D09,100,30,nitrate,N,26.6,41.6472461
NLM_151,D04,scan_037,816.6666667,0.626,D04,100,30,nitrate,N,25.7,45.71057993
NLM_151,E08,scan_074,818,0.662,E08,100,30,nitrate,N,25.8,42.88990585
NLM_152,D04,scan_037,815.75,0.635,D04,100,30,nitrate,N,26.4,46.01471628
NLM_152,E08,scan_074,796.5,0.561,E08,100,30,nitrate,N,26.6,42.79457413
NLM_158,D04,scan_037,849.5,0.678,D04,100,30,nitrate,N,25.4,45.7256784
NLM_158,E08,scan_074,807,0.585,E08,100,30,nitrate,N,25.4,42.77369943
NLM_107,E09,scan_066,894,0.749,E09,100,35,nitrate,N,26.5,47.58225425
NLM_151,E04,scan_037,809,0.605,E04,100,35,nitrate,N,25.7,43.51189518
NLM_151,F08,scan_075,822,0.655,F08,100,35,nitrate,N,25.7,49.2005798
NLM_152,E04,scan_037,817.6666667,0.616,E04,100,35,nitrate,N,26.4,43.81090045
NLM_152,F08,scan_075,783,0.522,F08,100,35,nitrate,N,26.6,49.10390958
NLM_158,E04,scan_037,853,1.013,E04,100,35,nitrate,N,25.4,43.52237377
NLM_158,F08,scan_075,845.4,0.661,F08,100,35,nitrate,N,25.4,49.10436225
NLM_107,F09,scan_066,905.6666667,0.752,F09,100,40,nitrate,N,26.5,45.37375598
NLM_151,F04,scan_037,816,0.552,F04,100,40,nitrate,N,25.7,41.31824475
NLM_151,G08,scan_075,802.5,0.596,G08,100,40,nitrate,N,25.7,47.00941328
NLM_152,F04,scan_037,763,0.417,F04,100,40,nitrate,N,26.4,41.59391195
NLM_152,G08,scan_075,758,0.458,G08,100,40,nitrate,N,26.6,46.90207382
NLM_158,F04,scan_037,859,0.726,F04,100,40,nitrate,N,25.4,41.36187238
NLM_158,G08,scan_075,849.5,0.638,G08,100,40,nitrate,N,25.4,46.92336865
NLM_166,B02,scan_025,848.3333333,0.533,B02,100,40,nitrate,Y,25.7,43.92539935
NLM_166,E03,scan_028,836,0.529,E03,100,40,nitrate,Y,25.8,39.91539688
NLM_166,B05,scan_054,860,0.6,B05,100,40,nitrate,Y,26.1,44.7990639
NLM_166,E06,scan_057,811,0.542,E06,100,40,nitrate,Y,26.1,43.83872545
NLM_107,G09,scan_066,894,0.724,G09,100,45,nitrate,N,26.5,43.17442297
NLM_151,G04,scan_037,840.6,0.637,G04,100,45,nitrate,N,25.7,39.11924205
NLM_151,H08,scan_075,849,0.697,H08,100,45,nitrate,N,25.7,44.81107922
NLM_152,G04,scan_037,814,0.606,G04,100,45,nitrate,N,26.4,39.38624382
NLM_152,H08,scan_075,771.3333333,0.492,H08,100,45,nitrate,N,26.6,44.72357735
NLM_158,G04,scan_037,869,0.676,G04,100,45,nitrate,N,25.4,39.1670371
NLM_158,H08,scan_075,861,0.65,H08,100,45,nitrate,N,25.4,44.7306983
NLM_107,H09,scan_066,902,0.73,H09,100,50,nitrate,N,26.5,40.99992815
NLM_151,H04,scan_037,835,0.576,H04,100,50,nitrate,N,25.7,36.93108162
NLM_151,A09,scan_075,798,0.689,A09,100,50,nitrate,N,25.7,42.59991013
NLM_152,H04,scan_037,779,0.444,H04,100,50,nitrate,N,26.4,37.19724692
NLM_152,A09,scan_075,727,0.437,A09,100,50,nitrate,N,26.6,42.53356443
NLM_158,H04,scan_037,862,0.649,H04,100,50,nitrate,N,25.4,36.97420663
NLM_158,A09,scan_075,846,0.625,A09,100,50,nitrate,N,25.4,42.53503625
NLM_166,E01,scan_024,852,0.439,E01,100,50,nitrate,Y,25.6,48.21954808
NLM_166,H02,scan_027,874,0.611,H02,100,50,nitrate,Y,25.8,44.20656305
NLM_166,E04,scan_053,845,0.481,E04,100,50,nitrate,Y,26,48.10789293
NLM_166,H05,scan_056,893,0.64,H05,100,50,nitrate,Y,26.1,47.09489
NLM_168,D01,scan_015,854.1818182,0.379,D01,100,50,nitrate,Y,25.8,42.40462723
NLM_168,B02,scan_016,848.6666667,0.412,B02,100,50,nitrate,Y,25.8,35.49278705
NLM_168,E02,scan_029,870,0.359,E02,100,50,nitrate,Y,25.9,73.88629312
NLM_168,C03,scan_033,802.8333333,0.295,C03,100,50,nitrate,Y,26,44.10262742
NLM_168,F03,scan_034,803,0.372,F03,100,50,nitrate,Y,26,44.27878708
NLM_168,A04,scan_035,802,0.379,A04,100,50,nitrate,Y,26,44.4976201
NLM_107,A10,scan_066,863,0.65,A10,100,55,nitrate,N,26.5,38.78175417
NLM_151,A05,scan_037,803.5,0.531,A05,100,55,nitrate,N,25.7,34.74291218
NLM_151,B09,scan_075,862,0.636,B09,100,55,nitrate,N,25.7,40.37171313
NLM_152,A05,scan_037,727.3333333,0.379,A05,100,55,nitrate,N,26.4,34.8578732
NLM_158,A05,scan_037,787,0.606,A05,100,55,nitrate,N,25.4,34.7652059
NLM_158,B09,scan_075,853,0.632,B09,100,55,nitrate,N,25.4,40.31820628
NLM_166,A02,scan_025,814.4444444,0.402,A02,100,55,nitrate,Y,25.7,46.14856357
NLM_166,D03,scan_028,866.8,0.52,D03,100,55,nitrate,Y,25.8,42.10906432
NLM_166,A05,scan_054,865.5,0.636,A05,100,55,nitrate,Y,26.1,47.0105614
NLM_166,D06,scan_057,859,0.631,D06,100,55,nitrate,Y,26.1,46.03789283
NLM_107,B10,scan_066,846.25,0.616,B10,100,60,nitrate,N,26.5,36.56142462
NLM_151,B05,scan_037,790,0.393,B05,100,60,nitrate,N,25.7,32.52874578
NLM_151,C09,scan_075,849,0.664,C09,100,60,nitrate,N,25.7,38.16591248
NLM_152,B05,scan_037,752,0.355,B05,100,60,nitrate,N,26.4,32.64274568
NLM_152,C09,scan_075,841.6666667,0.569,C09,100,60,nitrate,N,26.6,38.11091498
NLM_158,B05,scan_037,847.3636364,0.505,B05,100,60,nitrate,N,25.4,32.55820665
NLM_158,C09,scan_075,848.3333333,0.577,C09,100,60,nitrate,N,25.4,38.11886933
CNH_047,D08,scan_036,596.25,0.475,D08,0.01,13,KBr,middle,26.6,41.70319135
CNH_048,D03,scan_036,603.5,0.463,D03,0.01,13,KBr,N,26.6,42.17118665
CNH_049,D09,scan_036,585,0.481,D09,0.01,13,KBr,N,26.3,41.59752048
CNH_064,B01,scan_031,588,0.471,B01,0.01,13,KBr,N,26.9,69.76903727
CNH_065,B07,scan_036,408.25,0.016,B07,0.01,13,KBr,N,26.4,79.78503677
CNH_065,D09,scan_037,580,0.424,D09,0.01,13,KBr,N,26.6,47.90203937
CNH_067,B07,scan_036,612.5,0.474,B07,0.01,13,KBr,N,26.1,79.74353752
CNH_067,D09,scan_037,608.125,0.447,D09,0.01,13,KBr,N,26.2,47.87669908
CMH_016,B01,scan_028,591.3333333,0.476,B01,0.01,13,KBr,N,25.9,63.47825168
CMH_016,F04,scan_062,564,0.492,F04,0.01,13,KBr,N,26.4,65.86408463
CMH_016,B08,scan_066,582,0.464,B08,0.01,13,KBr,N,26.4,36.57024278
CMH_018,B01,scan_028,564,0.462,B01,0.01,13,KBr,N,25.1,63.51608048
CMH_018,F04,scan_062,596.3333333,0.497,F04,0.01,13,KBr,N,25.6,65.8845777
CMH_018,B08,scan_066,594.75,0.521,B08,0.01,13,KBr,N,25.7,36.59758465
CMH_024,B01,scan_032,586,0.482,B01,0.01,13,KBr,N,26.2,72.4486205
CMH_024,B05,scan_070,579.5,0.452,B05,0.01,13,KBr,N,26.6,74.8907854
CMH_024,B09,scan_074,555.5,0.452,B09,0.01,13,KBr,N,26.6,37.94544488
CMH_028,B01,scan_032,621,0.477,B01,0.01,13,KBr,N,26.9,72.42760968
CMH_028,B05,scan_070,623.5,0.487,B05,0.01,13,KBr,N,27,75.18410495
CMH_028,B09,scan_074,605.3333333,0.522,B09,0.01,13,KBr,N,26.9,37.95678128
CMH_030,B01,scan_032,582,0.457,B01,0.01,13,KBr,N,26.1,72.36861842
CMH_030,B05,scan_070,593,0.412,B05,0.01,13,KBr,N,26.5,75.0324479
CMH_030,B09,scan_074,590.8,0.5,B09,0.01,13,KBr,N,26.6,37.95078422
CMH_031,B01,scan_032,585.9,0.473,B01,0.01,13,KBr,N,26.9,72.4629486
CMH_031,B05,scan_070,595,0.444,B05,0.01,13,KBr,N,26.8,74.83111052
CMH_031,B09,scan_074,614,0.505,B09,0.01,13,KBr,N,26.8,37.90244547
CMH_032,B01,scan_032,579,0.45,B01,0.01,13,KBr,N,26.4,72.44827927
CMH_032,B05,scan_070,563.8,0.479,B05,0.01,13,KBr,N,26.6,74.7347765
CMH_032,B09,scan_074,569.3333333,0.467,B09,0.01,13,KBr,N,26.6,37.92444843
CMH_037,B01,scan_024,582,0.471,B01,0.01,13,KBr,N,26.1,55.3167591
CMH_037,A07,scan_057,587,0.459,A07,0.01,13,KBr,N,25.6,55.7964207
CMH_037,H12,scan_090,562,0.497,H12,0.01,13,KBr,N,24.8,43.4152573
CMH_038,B01,scan_024,587,0.462,B01,0.01,13,KBr,N,26.1,55.25074265
CMH_038,A07,scan_081,583,0.503,A07,0.01,13,KBr,N,26.3,55.64975412
CMH_038,H12,scan_103,562,0.457,H12,0.01,13,KBr,N,26.1,43.3789264
NLM_107,C06,scan_062,635,0.49,C06,0.01,13,KBr,N,26.5,72.6442501
NLM_107,C10,scan_088,621.6666667,0.518,C10,0.01,13,KBr,N,26.4,43.31224268
CMH_046,B01,scan_024,591.5,0.541,B01,0.01,13,KBr,N,24.6,55.34863597
CMH_046,A07,scan_081,615.5,0.479,A07,0.01,13,KBr,N,24.3,55.70992947
CMH_046,H12,scan_114,622.1666667,0.508,H12,0.01,13,KBr,N,24.1,43.35113373
NLM_151,B01,scan_033,575,0.474,B01,0.01,13,KBr,N,25.6,74.67674303
NLM_151,C05,scan_071,577,0.429,C05,0.01,13,KBr,N,25.7,75.10124448
NLM_152,B01,scan_033,615,0.43,B01,0.01,13,KBr,N,26.3,75.60707807
